,title,release_date,genres,mpaa,budget_cost,total_gross,runtime
1137,Patti Cake$,"Aug 18, 2017","['Drama', 'Music']",R,,"{'domestic_gross': 800148, 'worldwide_gross': 1482356}",1 hr 49 min
1138,George Takei's Allegiance,"Feb 19, 2017",['Musical'],,,"{'domestic_gross': 784850, 'worldwide_gross': 784850}",2 hr 10 min
1139,Mark Felt: The Man Who Brought Down the White House,"Sep 29, 2017","['Biography', 'Drama', 'History', 'Thriller']",PG-13,,"{'domestic_gross': 768946, 'worldwide_gross': 4372130}",1 hr 43 min
1140,Mubarakan,"Jul 28, 2017","['Comedy', 'Romance']",PG-13,,"{'domestic_gross': 758868, 'worldwide_gross': 12899968}",2 hr 36 min
1141,May It Last,"Sep 12, 2017","['Documentary', 'Music']",,,"{'domestic_gross': 725286, 'worldwide_gross': 725286}",1 hr 44 min
1142,Revive Us 2,"Oct 24, 2017",['Documentary'],,,"{'domestic_gross': 718607, 'worldwide_gross': 718607}",1 hr 30 min
1143,The Exception,"Jun 2, 2017","['Drama', 'Romance', 'War']",R,,"{'domestic_gross': 708973, 'worldwide_gross': 834572}",1 hr 47 min
1144,Countdown to Canelo vs. Golovkin,"Sep 16, 2017",['Action'],,,"{'domestic_gross': 703396, 'worldwide_gross': 703396}",1 hr 2 min
1145,Chris Brown: Welcome To My Life,"Jun 8, 2017",['Documentary'],,,"{'domestic_gross': 693984, 'worldwide_gross': 693984}",1 hr 20 min
1146,Titanic,"Dec 1, 2017","['Drama', 'Romance']",PG-13,"$200,000,000","{'domestic_gross': 691642, 'worldwide_gross': 691642}",3 hr 14 min
1147,Lost in Paris,"Jun 16, 2017",['Comedy'],,,"{'domestic_gross': 691597, 'worldwide_gross': 2087225}",1 hr 23 min
1148,Shubh Mangal Savdhan,Kalyana Samayal Saadham,"['Comedy', 'Romance']",,,"{'domestic_gross': 689874, 'worldwide_gross': 1188541}",1 hr 59 min
1149,The Devotion of Suspect X,"Mar 31, 2017","['Crime', 'Thriller']",,,"{'domestic_gross': 686435, 'worldwide_gross': 59035664}",1 hr 52 min
1150,Walk With Me,"Aug 11, 2017",['Documentary'],,,"{'domestic_gross': 726726, 'worldwide_gross': 1606705}",1 hr 34 min
1151,Wilson,"Mar 24, 2017","['Comedy', 'Drama']",R,,"{'domestic_gross': 653951, 'worldwide_gross': 848646}",1 hr 34 min
1152,Jonah: The Musical,"May 2, 2017",['Musical'],,,"{'domestic_gross': 631154, 'worldwide_gross': 631154}",1 hr 56 min
1153,The Only Living Boy in New York,"Aug 11, 2017",['Drama'],R,,"{'domestic_gross': 624332, 'worldwide_gross': 2550321}",1 hr 29 min
1154,Along With the Gods: The Two Worlds,"Dec 22, 2017","['Action', 'Drama', 'Fantasy']",,,"{'domestic_gross': 1908823, 'worldwide_gross': 109383972}",2 hr 19 min
1155,The Midwife,"Jul 21, 2017",['Drama'],,,"{'domestic_gross': 603582, 'worldwide_gross': 7286136}",1 hr 57 min
1156,Battle of Memories,"Apr 28, 2017","['Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",,,"{'domestic_gross': 594552, 'worldwide_gross': 43892362}",1 hr 59 min
1157,Faces Places,"Oct 6, 2017",['Documentary'],PG,,"{'domestic_gross': 953717, 'worldwide_gross': 3998450}",1 hr 34 min
1158,Master,"Dec 30, 2016","['Action', 'Crime']",,,"{'domestic_gross': 597251, 'worldwide_gross': 51636415}",2 hr 23 min
1159,Tommy's Honour,"Apr 14, 2017","['Biography', 'Drama', 'Romance', 'Sport']",PG,,"{'domestic_gross': 569306, 'worldwide_gross': 751345}",1 hr 52 min
1160,Novitiate,"Oct 27, 2017",['Drama'],R,,"{'domestic_gross': 580346, 'worldwide_gross': 580346}",2 hr 3 min
1161,Bitter Harvest,"Feb 24, 2017","['Drama', 'History', 'Romance', 'War']",R,,"{'domestic_gross': 557241, 'worldwide_gross': 904399}",1 hr 43 min
1162,Allied,"Nov 23, 2016","['Action', 'Drama', 'Romance', 'Thriller', 'War']",R,"$85,000,000","{'domestic_gross': 40098064, 'worldwide_gross': 119520023}",2 hr 4 min
1163,Nocturnal Animals,"Nov 18, 2016","['Drama', 'Thriller']",R,,"{'domestic_gross': 10663357, 'worldwide_gross': 30311857}",1 hr 56 min
1164,Samaritan's Purse presents Facing Darkness,"Apr 10, 2017","['Documentary', 'Drama']",,,"{'domestic_gross': 555533, 'worldwide_gross': 555533}",1 hr 33 min
1165,Dolores,"Sep 1, 2017","['Biography', 'Documentary', 'History']",,,"{'domestic_gross': 555309, 'worldwide_gross': 555309}",1 hr 35 min
1166,Under the Sea 3D,"Feb 13, 2009","['Documentary', 'Short']",,,"{'domestic_gross': 36262926, 'worldwide_gross': 55902624}",41 min
1167,Brigsby Bear,"Jul 28, 2017","['Comedy', 'Drama']",PG-13,,"{'domestic_gross': 532669, 'worldwide_gross': 681632}",1 hr 37 min
1168,Human Flow,"Oct 13, 2017",['Documentary'],PG-13,,"{'domestic_gross': 527845, 'worldwide_gross': 1824537}",2 hr 20 min
1169,Phantom Thread,"Dec 25, 2017","['Drama', 'Romance']",R,,"{'domestic_gross': 21198205, 'worldwide_gross': 47756590}",2 hr 10 min
1170,Fairy Tail: Dragon Cry,"Aug 14, 2017","['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",,,"{'domestic_gross': 519461, 'worldwide_gross': 1420035}",1 hr 25 min
1171,Raw,"Mar 10, 2017","['Drama', 'Fantasy', 'Horror']",R,,"{'domestic_gross': 514870, 'worldwide_gross': 3096815}",1 hr 39 min
1172,Our President,"Jun 2, 2017",['Documentary'],,,"{'domestic_gross': 507268, 'worldwide_gross': 13392049}",1 hr 59 min
1173,Breathe,"Oct 13, 2017","['Biography', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 490131, 'worldwide_gross': 5026154}",1 hr 58 min
1174,Once Upon A Time,"Aug 11, 2017","['Drama', 'Fantasy', 'Romance']",,,"{'domestic_gross': 485728, 'worldwide_gross': 82886178}",1 hr 49 min
1175,Born to Be Wild,"Apr 8, 2011","['Adventure', 'Documentary', 'Short']",,,"{'domestic_gross': 25978556, 'worldwide_gross': 41644475}",40 min
1176,Confidential Assignment,"Jan 27, 2017","['Action', 'Adventure']",,,"{'domestic_gross': 475618, 'worldwide_gross': 55972241}",2 hr 4 min
