,title,release_date,genres,mpaa,budget_cost,total_gross,runtime,release_month,release_year,world_gross,domestic_gross,month_year,genre_1
2223,Destroyer,"Dec 25, 2018","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",R,,"{'domestic_gross': 1533324, 'worldwide_gross': 5580940}",2 hr 1 min,Dec,2018,5580940,1533324,Dec 2018,Action
2224,Yu-Gi-Oh!: The Movie - Pyramid of Light,"Mar 11, 2018","['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Thriller']",PG,,"{'domestic_gross': 121688, 'worldwide_gross': 121688}",1 hr 40 min,Mar,2018,121688,121688,Mar 2018,Action
2225,Geostorm,"Oct 20, 2017","['Action', 'Sci-Fi', 'Thriller']",PG-13,120000000.0,"{'domestic_gross': 33700160, 'worldwide_gross': 221600160}",1 hr 49 min,Oct,2017,221600160,33700160,Oct 2017,Action
2226,Love After Love,"Mar 30, 2018","['Drama', 'Romance']",,,"{'domestic_gross': 121098, 'worldwide_gross': 128602}",1 hr 31 min,Mar,2018,128602,121098,Mar 2018,Drama
2227,Five Seasons: The Gardens of Piet Oudolf,"Jun 13, 2018",['Documentary'],,,"{'domestic_gross': 119223, 'worldwide_gross': 130319}",1 hr 15 min,Jun,2018,130319,119223,Jun 2018,Documentary
2228,Till The End Of The World,"Feb 2, 2018","['Adventure', 'Drama']",,,"{'domestic_gross': 118660, 'worldwide_gross': 37013733}",1 hr 57 min,Feb,2018,37013733,118660,Feb 2018,Adventure
2229,The Great Buster,"Oct 5, 2018","['Biography', 'Documentary']",,,"{'domestic_gross': 118344, 'worldwide_gross': 125807}",1 hr 42 min,Oct,2018,125807,118344,Oct 2018,Biography
2230,Bisbee '17,"Sep 5, 2018","['Documentary', 'Western']",,,"{'domestic_gross': 117470, 'worldwide_gross': 117470}",1 hr 52 min,Sep,2018,117470,117470,Sep 2018,Documentary
2231,Ryuichi Sakamoto: Coda,"Jul 6, 2018","['Documentary', 'Music']",,,"{'domestic_gross': 117460, 'worldwide_gross': 960212}",1 hr 40 min,Jul,2018,960212,117460,Jul 2018,Documentary
2232,George Takei's Allegiance,"Dec 11, 2018",['Musical'],,,"{'domestic_gross': 117162, 'worldwide_gross': 117162}",2 hr 10 min,Dec,2018,117162,117162,Dec 2018,Musical
2233,Capernaum,"Dec 14, 2018",['Drama'],R,,"{'domestic_gross': 1661096, 'worldwide_gross': 64413178}",2 hr 6 min,Dec,2018,64413178,1661096,Dec 2018,Drama
2234,Wings of Desire,"Oct 19, 2018","['Drama', 'Fantasy', 'Romance']",,,"{'domestic_gross': 123830, 'worldwide_gross': 123830}",2 hr 8 min,Oct,2018,123830,123830,Oct 2018,Drama
2235,Gonjiam: Haunted Asylum,"Apr 13, 2018",['Horror'],,,"{'domestic_gross': 115252, 'worldwide_gross': 21041950}",1 hr 35 min,Apr,2018,21041950,115252,Apr 2018,Horror
2236,Mantra: Sounds Into Silence,"Apr 20, 2018","['Documentary', 'Music']",,,"{'domestic_gross': 115013, 'worldwide_gross': 135684}",1 hr 25 min,Apr,2018,135684,115013,Apr 2018,Documentary
2237,Nostalgia,"Feb 16, 2018",['Drama'],R,,"{'domestic_gross': 114603, 'worldwide_gross': 114603}",1 hr 54 min,Feb,2018,114603,114603,Feb 2018,Drama
2238,Bodied,"Nov 2, 2018","['Comedy', 'Drama', 'Music']",R,,"{'domestic_gross': 113956, 'worldwide_gross': 113956}",2 hr,Nov,2018,113956,113956,Nov 2018,Comedy
2239,Hymn: Sarah Brightman In Concert,"Nov 8, 2018",['Music'],,,"{'domestic_gross': 113274, 'worldwide_gross': 124707}",,Nov,2018,124707,113274,Nov 2018,Music
2240,A Boy. A Girl. A Dream.,"Sep 14, 2018","['Drama', 'Romance']",R,,"{'domestic_gross': 112552, 'worldwide_gross': 112552}",1 hr 29 min,Sep,2018,112552,112552,Sep 2018,Drama
2241,The Dawn Wall,"Sep 14, 2018","['Biography', 'Documentary', 'Sport']",,,"{'domestic_gross': 112191, 'worldwide_gross': 112191}",1 hr 40 min,Sep,2018,112191,112191,Sep 2018,Biography
2242,A Chance in the World,"May 30, 2018","['Biography', 'Drama', 'Family']",,,"{'domestic_gross': 112007, 'worldwide_gross': 112007}",1 hr 15 min,May,2018,112007,112007,May 2018,Biography
2243,The World Before Your Feet,"Nov 21, 2018",['Documentary'],,,"{'domestic_gross': 268644, 'worldwide_gross': 268644}",1 hr 35 min,Nov,2018,268644,268644,Nov 2018,Documentary
2244,"Roman J. Israel, Esq.","Nov 17, 2017","['Crime', 'Drama', 'Thriller']",PG-13,22000000.0,"{'domestic_gross': 11962778, 'worldwide_gross': 13025860}",2 hr 2 min,Nov,2017,13025860,11962778,Nov 2017,Crime
2245,Amazing Grace,"Dec 7, 2018","['Documentary', 'Music']",G,,"{'domestic_gross': 4450456, 'worldwide_gross': 7796112}",1 hr 29 min,Dec,2018,7796112,4450456,Dec 2018,Documentary
2246,The Negotiation,"Sep 21, 2018","['Action', 'Crime', 'Thriller']",,,"{'domestic_gross': 110986, 'worldwide_gross': 15229193}",1 hr 54 min,Sep,2018,15229193,110986,Sep 2018,Action
2247,Lu Over the Wall,"May 11, 2018","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",PG,,"{'domestic_gross': 109857, 'worldwide_gross': 161253}",1 hr 52 min,May,2018,161253,109857,May 2018,Adventure
2248,The Captain,"Jul 27, 2018","['Drama', 'History', 'War']",,,"{'domestic_gross': 109226, 'worldwide_gross': 1196669}",1 hr 58 min,Jul,2018,1196669,109226,Jul 2018,Drama
2249,Mary Shelley,"May 25, 2018","['Biography', 'Drama', 'History', 'Romance']",PG-13,,"{'domestic_gross': 108900, 'worldwide_gross': 2096600}",2 hr,May,2018,2096600,108900,May 2018,Biography
2250,Deep Sea,"Mar 3, 2006","['Documentary', 'Short']",G,,"{'domestic_gross': 46412757, 'worldwide_gross': 98230905}",41 min,Mar,2006,98230905,46412757,Mar 2006,Documentary
2251,National Theatre Live: Julius Caesar,"Mar 22, 2018",['Biography'],,,"{'domestic_gross': 107057, 'worldwide_gross': 107057}",2 hr 15 min,Mar,2018,107057,107057,Mar 2018,Biography
2252,"Love, Cecil","June 29, 2018","['Biography', 'Documentary']",,,"{'domestic_gross': 106057, 'worldwide_gross': 107940}",1 hr 38 min,Jun,2018,107940,106057,Jun 2018,Biography
2253,In Between,"Jan 5, 2018",['Drama'],,,"{'domestic_gross': 107977, 'worldwide_gross': 1679952}",1 hr 43 min,Jan,2018,1679952,107977,Jan 2018,Drama
2254,Never Heard,"Nov 1, 2018","['Drama', 'Family']",,,"{'domestic_gross': 105271, 'worldwide_gross': 105271}",1 hr 29 min,Nov,2018,105271,105271,Nov 2018,Drama
2255,Sweet Country,"Apr 6, 2018","['Adventure', 'Crime', 'Drama', 'History', 'Thriller', 'Western']",R,,"{'domestic_gross': 104297, 'worldwide_gross': 1847693}",1 hr 53 min,Apr,2018,1847693,104297,Apr 2018,Adventure
2256,Namaste England,"Oct 19, 2018","['Comedy', 'Drama', 'Romance']",,,"{'domestic_gross': 104156, 'worldwide_gross': 279934}",2 hr 21 min,Oct,2018,279934,104156,Oct 2018,Comedy
2257,Detective K: Secret of the Living Dead,"Feb 16, 2018","['Comedy', 'Crime']",,,"{'domestic_gross': 104013, 'worldwide_gross': 18603476}",2 hr,Feb,2018,18603476,104013,Feb 2018,Comedy
2258,Memoir of War,"Aug 17, 2018",['Drama'],,,"{'domestic_gross': 103636, 'worldwide_gross': 2980982}",2 hr 7 min,Aug,2018,2980982,103636,Aug 2018,Drama
2259,Happy Phirr Bhag Jayegi,"Aug 24, 2018",['Comedy'],,,"{'domestic_gross': 103385, 'worldwide_gross': 417669}",2 hr 16 min,Aug,2018,417669,103385,Aug 2018,Comedy
2260,Ismael's Ghosts,"Mar 23, 2018","['Drama', 'Romance', 'Thriller']",R,,"{'domestic_gross': 102510, 'worldwide_gross': 3075562}",1 hr 54 min,Mar,2018,3075562,102510,Mar 2018,Drama
2261,Revenge,"May 11, 2018","['Action', 'Horror', 'Thriller']",R,,"{'domestic_gross': 102091, 'worldwide_gross': 938055}",1 hr 48 min,May,2018,938055,102091,May 2018,Action
2262,Andrei Rublev,"Aug 24, 2018","['Biography', 'Drama', 'History']",,,"{'domestic_gross': 102021, 'worldwide_gross': 102021}",3 hr 25 min,Aug,2018,102021,102021,Aug 2018,Biography
2263,Unstoppable,"Nov 30, 2018","['Action', 'Crime', 'Thriller']",,,"{'domestic_gross': 101417, 'worldwide_gross': 11845347}",1 hr 56 min,Nov,2018,11845347,101417,Nov 2018,Action
2264,The Man Who Invented Christmas,"Nov 22, 2017","['Biography', 'Comedy', 'Drama']",PG,,"{'domestic_gross': 5676486, 'worldwide_gross': 8096007}",1 hr 44 min,Nov,2017,8096007,5676486,Nov 2017,Biography
2265,All About Nina,"Sep 28, 2018","['Comedy', 'Drama', 'Romance']",R,,"{'domestic_gross': 100335, 'worldwide_gross': 100335}",1 hr 37 min,Sep,2018,100335,100335,Sep 2018,Comedy
2266,Filmworker,"May 11, 2018","['Biography', 'Documentary']",,,"{'domestic_gross': 102609, 'worldwide_gross': 112828}",1 hr 34 min,May,2018,112828,102609,May 2018,Biography
2267,Meow Wolf: Origin Story,"Nov 29, 2018",['Documentary'],,,"{'domestic_gross': 99488, 'worldwide_gross': 99488}",1 hr 28 min,Nov,2018,99488,99488,Nov 2018,Documentary
2268,Big Sonia,"Nov 17, 2017","['Documentary', 'Family', 'History']",,,"{'domestic_gross': 212471, 'worldwide_gross': 212471}",1 hr 33 min,Nov,2017,212471,212471,Nov 2017,Documentary
2269,National Theatre Live: Macbeth,"May 17, 2018",['Drama'],,,"{'domestic_gross': 97857, 'worldwide_gross': 97857}",3 hr 30 min,May,2018,97857,97857,May 2018,Drama
2270,Champion,"May 11, 2018","['Drama', 'Sport']",,,"{'domestic_gross': 97472, 'worldwide_gross': 8974547}",1 hr 48 min,May,2018,8974547,97472,May 2018,Drama
2271,Wonder Wheel,"Dec 1, 2017",['Drama'],PG-13,,"{'domestic_gross': 1404061, 'worldwide_gross': 15889124}",1 hr 41 min,Dec,2017,15889124,1404061,Dec 2017,Drama
2272,Godspeed: The Race Across America,"May 22, 2018",['Documentary'],,,"{'domestic_gross': 96690, 'worldwide_gross': 96690}",1 hr 53 min,May,2018,96690,96690,May 2018,Documentary
2273,El Angel,"Nov 9, 2018","['Biography', 'Crime', 'Drama']",,,"{'domestic_gross': 109608, 'worldwide_gross': 5604680}",1 hr 58 min,Nov,2018,5604680,109608,Nov 2018,Biography
