,title,release_date,genres,mpaa,budget_cost,total_gross,runtime,release_month,release_year,world_gross,domestic_gross,month_year,genre_1
0,Finding Dory,"Jun 17, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,,"{'domestic_gross': 486295561, 'worldwide_gross': 1028570889}",1 hr 37 min,Jun,2016,1028570889,486295561,Jun 2016,Adventure
1,Rogue One: A Star Wars Story,"Dec 16, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,200000000.0,"{'domestic_gross': 532177324, 'worldwide_gross': 1056057273}",2 hr 13 min,Dec,2016,1056057273,532177324,Dec 2016,Action
2,Captain America: Civil War,"May 6, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,250000000.0,"{'domestic_gross': 408084349, 'worldwide_gross': 1153296293}",2 hr 27 min,May,2016,1153296293,408084349,May 2016,Action
3,The Secret Life of Pets,"Jul 8, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,75000000.0,"{'domestic_gross': 368384330, 'worldwide_gross': 875457937}",1 hr 27 min,Jul,2016,875457937,368384330,Jul 2016,Adventure
4,The Jungle Book,"Apr 15, 2016","['Adventure', 'Drama', 'Family', 'Fantasy']",PG,175000000.0,"{'domestic_gross': 364001123, 'worldwide_gross': 966550600}",1 hr 46 min,Apr,2016,966550600,364001123,Apr 2016,Adventure
5,Deadpool,"Feb 12, 2016","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",R,58000000.0,"{'domestic_gross': 363070709, 'worldwide_gross': 782612155}",1 hr 48 min,Feb,2016,782612155,363070709,Feb 2016,Action
6,Zootopia,"Mar 4, 2016","['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",PG,,"{'domestic_gross': 341268248, 'worldwide_gross': 1023784195}",1 hr 48 min,Mar,2016,1023784195,341268248,Mar 2016,Adventure
7,Batman v Superman: Dawn of Justice,"Mar 25, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,250000000.0,"{'domestic_gross': 330360194, 'worldwide_gross': 873634919}",2 hr 32 min,Mar,2016,873634919,330360194,Mar 2016,Action
8,Suicide Squad,"Aug 5, 2016","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,175000000.0,"{'domestic_gross': 325100054, 'worldwide_gross': 746846894}",2 hr 3 min,Aug,2016,746846894,325100054,Aug 2016,Action
9,Star Wars: Episode VII - The Force Awakens,"Dec 18, 2015","['Action', 'Adventure', 'Sci-Fi']",PG-13,245000000.0,"{'domestic_gross': 936662225, 'worldwide_gross': 2068223624}",2 hr 18 min,Dec,2015,2068223624,936662225,Dec 2015,Action
10,Doctor Strange,"Nov 4, 2016","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,165000000.0,"{'domestic_gross': 232641920, 'worldwide_gross': 677718395}",1 hr 55 min,Nov,2016,677718395,232641920,Nov 2016,Action
11,Fantastic Beasts and Where to Find Them,"Nov 18, 2016","['Adventure', 'Family', 'Fantasy']",PG-13,180000000.0,"{'domestic_gross': 234037575, 'worldwide_gross': 814037575}",2 hr 12 min,Nov,2016,814037575,234037575,Nov 2016,Adventure
12,Moana,"Nov 23, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",PG,,"{'domestic_gross': 248757044, 'worldwide_gross': 643331111}",1 hr 47 min,Nov,2016,643331111,248757044,Nov 2016,Adventure
13,The Revenant,"Dec 25, 2015","['Action', 'Adventure', 'Drama', 'History', 'Western']",R,135000000.0,"{'domestic_gross': 183637894, 'worldwide_gross': 532950503}",2 hr 36 min,Dec,2015,532950503,183637894,Dec 2015,Action
14,Jason Bourne,"Jul 29, 2016","['Action', 'Thriller']",PG-13,120000000.0,"{'domestic_gross': 162434410, 'worldwide_gross': 415484914}",2 hr 3 min,Jul,2016,415484914,162434410,Jul 2016,Action
15,Star Trek Beyond,"Jul 22, 2016","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13,185000000.0,"{'domestic_gross': 158848340, 'worldwide_gross': 343471816}",2 hr 2 min,Jul,2016,343471816,158848340,Jul 2016,Action
16,X-Men: Apocalypse,"May 27, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,178000000.0,"{'domestic_gross': 155442489, 'worldwide_gross': 543934105}",2 hr 24 min,May,2016,543934105,155442489,May 2016,Action
17,Sing,"Dec 21, 2016","['Animation', 'Comedy', 'Family', 'Musical']",PG,75000000.0,"{'domestic_gross': 270395425, 'worldwide_gross': 634151679}",1 hr 48 min,Dec,2016,634151679,270395425,Dec 2016,Animation
18,Trolls,"Nov 4, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",PG,125000000.0,"{'domestic_gross': 153707064, 'worldwide_gross': 346864462}",1 hr 32 min,Nov,2016,346864462,153707064,Nov 2016,Adventure
19,Kung Fu Panda 3,"Jan 29, 2016","['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",PG,145000000.0,"{'domestic_gross': 143528619, 'worldwide_gross': 521170825}",1 hr 35 min,Jan,2016,521170825,143528619,Jan 2016,Action
20,Ghostbusters,"Jul 15, 2016","['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",PG-13,144000000.0,"{'domestic_gross': 128350574, 'worldwide_gross': 229147509}",1 hr 57 min,Jul,2016,229147509,128350574,Jul 2016,Action
21,Central Intelligence,"Jun 17, 2016","['Action', 'Comedy', 'Crime']",PG-13,50000000.0,"{'domestic_gross': 127440871, 'worldwide_gross': 216972543}",1 hr 47 min,Jun,2016,216972543,127440871,Jun 2016,Action
22,The Legend of Tarzan,"Jul 1, 2016","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",PG-13,180000000.0,"{'domestic_gross': 126643061, 'worldwide_gross': 356700357}",1 hr 50 min,Jul,2016,356700357,126643061,Jul 2016,Action
23,Sully,"Sep 9, 2016","['Biography', 'Drama']",PG-13,60000000.0,"{'domestic_gross': 125070033, 'worldwide_gross': 240797623}",1 hr 36 min,Sep,2016,240797623,125070033,Sep 2016,Biography
24,Bad Moms,"Jul 29, 2016",['Comedy'],R,20000000.0,"{'domestic_gross': 113257297, 'worldwide_gross': 183936074}",1 hr 40 min,Jul,2016,183936074,113257297,Jul 2016,Comedy
25,The Angry Birds Movie,"May 20, 2016","['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",PG,73000000.0,"{'domestic_gross': 107509366, 'worldwide_gross': 352333929}",1 hr 37 min,May,2016,352333929,107509366,May 2016,Action
26,Independence Day: Resurgence,"Jun 24, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,165000000.0,"{'domestic_gross': 103144286, 'worldwide_gross': 389681935}",2 hr,Jun,2016,389681935,103144286,Jun 2016,Action
27,The Conjuring 2,"Jun 10, 2016","['Horror', 'Mystery', 'Thriller']",R,40000000.0,"{'domestic_gross': 102470008, 'worldwide_gross': 320392818}",2 hr 14 min,Jun,2016,320392818,102470008,Jun 2016,Horror
28,Sausage Party,"Aug 12, 2016","['Adventure', 'Animation', 'Comedy', 'Fantasy']",R,19000000.0,"{'domestic_gross': 97685686, 'worldwide_gross': 140705322}",1 hr 29 min,Aug,2016,140705322,97685686,Aug 2016,Adventure
29,The Magnificent Seven,"Sep 23, 2016","['Action', 'Adventure', 'Western']",PG-13,90000000.0,"{'domestic_gross': 93432655, 'worldwide_gross': 162360636}",2 hr 12 min,Sep,2016,162360636,93432655,Sep 2016,Action
30,Arrival,"Nov 11, 2016","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",PG-13,47000000.0,"{'domestic_gross': 100546139, 'worldwide_gross': 203388186}",1 hr 56 min,Nov,2016,203388186,100546139,Nov 2016,Drama
31,Ride Along 2,"Jan 15, 2016","['Action', 'Comedy', 'Crime']",PG-13,40000000.0,"{'domestic_gross': 91221830, 'worldwide_gross': 124605297}",1 hr 42 min,Jan,2016,124605297,91221830,Jan 2016,Action
32,Don't Breathe,"Aug 26, 2016","['Crime', 'Horror', 'Thriller']",R,9900000.0,"{'domestic_gross': 89217875, 'worldwide_gross': 157830487}",1 hr 28 min,Aug,2016,157830487,89217875,Aug 2016,Crime
33,Miss Peregrine's Home for Peculiar Children,"Sep 30, 2016","['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']",PG-13,110000000.0,"{'domestic_gross': 87242834, 'worldwide_gross': 296482446}",2 hr 7 min,Sep,2016,296482446,87242834,Sep 2016,Adventure
34,The Accountant,"Oct 14, 2016","['Action', 'Crime', 'Drama', 'Thriller']",R,44000000.0,"{'domestic_gross': 86260045, 'worldwide_gross': 155160045}",2 hr 8 min,Oct,2016,155160045,86260045,Oct 2016,Action
35,Daddy's Home,"Dec 25, 2015","['Comedy', 'Family']",PG-13,,"{'domestic_gross': 150357137, 'worldwide_gross': 242786137}",1 hr 36 min,Dec,2015,242786137,150357137,Dec 2015,Comedy
36,Teenage Mutant Ninja Turtles: Out of the Shadows,"Jun 3, 2016","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",PG-13,135000000.0,"{'domestic_gross': 82051601, 'worldwide_gross': 245623848}",1 hr 52 min,Jun,2016,245623848,82051601,Jun 2016,Action
37,The Purge: Election Year,"Jul 1, 2016","['Action', 'Horror', 'Sci-Fi', 'Thriller']",R,10000000.0,"{'domestic_gross': 79213375, 'worldwide_gross': 118587880}",1 hr 48 min,Jul,2016,118587880,79213375,Jul 2016,Action
38,Alice Through the Looking Glass,"May 27, 2016","['Adventure', 'Family', 'Fantasy']",PG,170000000.0,"{'domestic_gross': 77041381, 'worldwide_gross': 299457024}",1 hr 53 min,May,2016,299457024,77041381,May 2016,Adventure
39,Pete's Dragon,"Aug 12, 2016","['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",PG,65000000.0,"{'domestic_gross': 76233151, 'worldwide_gross': 143695338}",1 hr 42 min,Aug,2016,143695338,76233151,Aug 2016,Action
40,The Girl on the Train,"Oct 7, 2016","['Crime', 'Drama', 'Mystery', 'Thriller']",R,45000000.0,"{'domestic_gross': 75395035, 'worldwide_gross': 173185859}",1 hr 52 min,Oct,2016,173185859,75395035,Oct 2016,Crime
41,Tyler Perry's Boo! A Madea Halloween,"Oct 21, 2016","['Comedy', 'Drama', 'Horror']",PG-13,20000000.0,"{'domestic_gross': 73206343, 'worldwide_gross': 74827344}",1 hr 43 min,Oct,2016,74827344,73206343,Oct 2016,Comedy
42,Storks,"Sep 23, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",PG,70000000.0,"{'domestic_gross': 72679278, 'worldwide_gross': 183388953}",1 hr 27 min,Sep,2016,183388953,72679278,Sep 2016,Adventure
43,10 Cloverfield Lane,"Mar 11, 2016","['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",PG-13,,"{'domestic_gross': 72082998, 'worldwide_gross': 110216998}",1 hr 43 min,Mar,2016,110216998,72082998,Mar 2016,Drama
44,Lights Out,"Jul 22, 2016","['Drama', 'Horror', 'Mystery', 'Thriller']",PG-13,4900000.0,"{'domestic_gross': 67268835, 'worldwide_gross': 148868835}",1 hr 21 min,Jul,2016,148868835,67268835,Jul 2016,Drama
45,Allegiant,"Mar 18, 2016","['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']",PG-13,,"{'domestic_gross': 66184051, 'worldwide_gross': 179246868}",2 hr,Mar,2016,179246868,66184051,Mar 2016,Action
46,Now You See Me 2,"Jun 10, 2016","['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",PG-13,,"{'domestic_gross': 65075540, 'worldwide_gross': 334897606}",2 hr 9 min,Jun,2016,334897606,65075540,Jun 2016,Action
47,Hacksaw Ridge,"Nov 4, 2016","['Biography', 'Drama', 'History', 'War']",R,40000000.0,"{'domestic_gross': 67209615, 'worldwide_gross': 180450918}",2 hr 19 min,Nov,2016,180450918,67209615,Nov 2016,Biography
48,Ice Age: Collision Course,"Jul 22, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Sci-Fi']",PG,105000000.0,"{'domestic_gross': 64063008, 'worldwide_gross': 408579038}",1 hr 34 min,Jul,2016,408579038,64063008,Jul 2016,Adventure
49,The Boss,"Apr 8, 2016",['Comedy'],R,29000000.0,"{'domestic_gross': 63285885, 'worldwide_gross': 78844582}",1 hr 39 min,Apr,2016,78844582,63285885,Apr 2016,Comedy
50,London Has Fallen,"Mar 4, 2016","['Action', 'Thriller']",R,60000000.0,"{'domestic_gross': 62524260, 'worldwide_gross': 205754447}",1 hr 39 min,Mar,2016,205754447,62524260,Mar 2016,Action
51,Miracles from Heaven,"Mar 16, 2016","['Biography', 'Drama', 'Family']",PG,13000000.0,"{'domestic_gross': 61705123, 'worldwide_gross': 73983003}",1 hr 49 min,Mar,2016,73983003,61705123,Mar 2016,Biography
52,Deepwater Horizon,"Sep 30, 2016","['Action', 'Drama', 'History', 'Thriller']",PG-13,110000000.0,"{'domestic_gross': 61433527, 'worldwide_gross': 121790373}",1 hr 47 min,Sep,2016,121790373,61433527,Sep 2016,Action
53,My Big Fat Greek Wedding 2,"Mar 25, 2016","['Comedy', 'Romance']",PG-13,,"{'domestic_gross': 59689605, 'worldwide_gross': 90632641}",1 hr 34 min,Mar,2016,90632641,59689605,Mar 2016,Comedy
54,Jack Reacher: Never Go Back,"Oct 21, 2016","['Action', 'Thriller']",PG-13,60000000.0,"{'domestic_gross': 58697076, 'worldwide_gross': 162146076}",1 hr 58 min,Oct,2016,162146076,58697076,Oct 2016,Action
55,Me Before You,"Jun 3, 2016","['Drama', 'Romance']",PG-13,20000000.0,"{'domestic_gross': 56245075, 'worldwide_gross': 208314186}",1 hr 46 min,Jun,2016,208314186,56245075,Jun 2016,Drama
56,The BFG,"Jul 1, 2016","['Adventure', 'Family', 'Fantasy']",PG,140000000.0,"{'domestic_gross': 55483770, 'worldwide_gross': 195243411}",1 hr 57 min,Jul,2016,195243411,55483770,Jul 2016,Adventure
57,Neighbors 2: Sorority Rising,"May 20, 2016",['Comedy'],R,,"{'domestic_gross': 55455765, 'worldwide_gross': 108007109}",1 hr 32 min,May,2016,108007109,55455765,May 2016,Comedy
58,Passengers,"Dec 21, 2016","['Drama', 'Romance', 'Sci-Fi', 'Thriller']",PG-13,110000000.0,"{'domestic_gross': 100014699, 'worldwide_gross': 303144152}",1 hr 56 min,Dec,2016,303144152,100014699,Dec 2016,Drama
59,The Shallows,"Jun 24, 2016","['Drama', 'Horror', 'Thriller']",PG-13,17000000.0,"{'domestic_gross': 55124043, 'worldwide_gross': 119100758}",1 hr 26 min,Jun,2016,119100758,55124043,Jun 2016,Drama
60,Barbershop: The Next Cut,"Apr 15, 2016","['Comedy', 'Drama']",PG-13,,"{'domestic_gross': 54030051, 'worldwide_gross': 55030051}",1 hr 51 min,Apr,2016,55030051,54030051,Apr 2016,Comedy
61,13 Hours,"Jan 15, 2016","['Action', 'Drama', 'War']",R,50000000.0,"{'domestic_gross': 52853219, 'worldwide_gross': 69411370}",2 hr 24 min,Jan,2016,69411370,52853219,Jan 2016,Action
62,Office Christmas Party,"Dec 9, 2016",['Comedy'],R,45000000.0,"{'domestic_gross': 54767494, 'worldwide_gross': 114501299}",1 hr 45 min,Dec,2016,114501299,54767494,Dec 2016,Comedy
63,The Huntsman: Winter's War,"Apr 22, 2016","['Action', 'Adventure', 'Drama', 'Fantasy']",PG-13,115000000.0,"{'domestic_gross': 48390190, 'worldwide_gross': 164989338}",1 hr 54 min,Apr,2016,164989338,48390190,Apr 2016,Action
64,Kubo and the Two Strings,"Aug 19, 2016","['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",PG,60000000.0,"{'domestic_gross': 48023088, 'worldwide_gross': 76249438}",1 hr 41 min,Aug,2016,76249438,48023088,Aug 2016,Action
65,Warcraft,"Jun 10, 2016","['Action', 'Adventure', 'Fantasy']",PG-13,160000000.0,"{'domestic_gross': 47365290, 'worldwide_gross': 439048914}",2 hr 3 min,Jun,2016,439048914,47365290,Jun 2016,Action
66,How to Be Single,"Feb 12, 2016","['Comedy', 'Drama', 'Romance']",R,38000000.0,"{'domestic_gross': 46843513, 'worldwide_gross': 112343513}",1 hr 50 min,Feb,2016,112343513,46843513,Feb 2016,Comedy
67,The Big Short,"Dec 11, 2015","['Biography', 'Comedy', 'Drama', 'History']",R,28000000.0,"{'domestic_gross': 70259870, 'worldwide_gross': 133440870}",2 hr 10 min,Dec,2015,133440870,70259870,Dec 2015,Biography
68,Mike and Dave Need Wedding Dates,"Jul 8, 2016","['Comedy', 'Romance']",R,33000000.0,"{'domestic_gross': 46009673, 'worldwide_gross': 77068246}",1 hr 38 min,Jul,2016,77068246,46009673,Jul 2016,Comedy
69,War Dogs,"Aug 19, 2016","['Biography', 'Comedy', 'Crime', 'Drama', 'War']",R,,"{'domestic_gross': 43034523, 'worldwide_gross': 86234523}",1 hr 54 min,Aug,2016,86234523,43034523,Aug 2016,Biography
70,Almost Christmas,"Nov 11, 2016","['Comedy', 'Drama']",PG-13,17000000.0,"{'domestic_gross': 42158780, 'worldwide_gross': 42580920}",1 hr 51 min,Nov,2016,42580920,42158780,Nov 2016,Comedy
71,Money Monster,"May 13, 2016","['Crime', 'Drama', 'Thriller']",R,27000000.0,"{'domestic_gross': 41012075, 'worldwide_gross': 93282604}",1 hr 38 min,May,2016,93282604,41012075,May 2016,Crime
72,The Hateful Eight,"Dec 25, 2015","['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']",R,44000000.0,"{'domestic_gross': 54117416, 'worldwide_gross': 155760117}",2 hr 48 min,Dec,2015,155760117,54117416,Dec 2015,Crime
73,Allied,"Nov 23, 2016","['Action', 'Drama', 'Romance', 'Thriller', 'War']",R,85000000.0,"{'domestic_gross': 40098064, 'worldwide_gross': 119520023}",2 hr 4 min,Nov,2016,119520023,40098064,Nov 2016,Action
74,Nerve,"Jul 27, 2016","['Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",PG-13,19000000.0,"{'domestic_gross': 38583626, 'worldwide_gross': 85251425}",1 hr 36 min,Jul,2016,85251425,38583626,Jul 2016,Adventure
75,Sisters,"Dec 18, 2015",['Comedy'],R,30000000.0,"{'domestic_gross': 87044645, 'worldwide_gross': 105011053}",1 hr 58 min,Dec,2015,105011053,87044645,Dec 2015,Comedy
76,Risen,"Feb 19, 2016","['Action', 'Drama', 'History', 'Mystery']",PG-13,20000000.0,"{'domestic_gross': 36880033, 'worldwide_gross': 46432579}",1 hr 47 min,Feb,2016,46432579,36880033,Feb 2016,Action
77,Assassin's Creed,"Dec 21, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,125000000.0,"{'domestic_gross': 54647948, 'worldwide_gross': 240697856}",1 hr 55 min,Dec,2016,240697856,54647948,Dec 2016,Action
78,The Nice Guys,"May 20, 2016","['Action', 'Comedy', 'Crime', 'Mystery', 'Thriller']",R,50000000.0,"{'domestic_gross': 36261763, 'worldwide_gross': 62788218}",1 hr 56 min,May,2016,62788218,36261763,May 2016,Action
79,The Boy,"Jan 22, 2016","['Horror', 'Mystery', 'Thriller']",PG-13,10000000.0,"{'domestic_gross': 35819556, 'worldwide_gross': 64188367}",1 hr 37 min,Jan,2016,64188367,35819556,Jan 2016,Horror
80,Dirty Grandpa,"Jan 22, 2016",['Comedy'],R,25000000.0,"{'domestic_gross': 35593113, 'worldwide_gross': 94073028}",1 hr 42 min,Jan,2016,94073028,35593113,Jan 2016,Comedy
81,Ouija: Origin of Evil,"Oct 21, 2016","['Drama', 'Horror', 'Mystery', 'Thriller']",PG-13,9000000.0,"{'domestic_gross': 35144505, 'worldwide_gross': 81705746}",1 hr 39 min,Oct,2016,81705746,35144505,Oct 2016,Drama
82,The 5th Wave,"Jan 22, 2016","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13,38000000.0,"{'domestic_gross': 34916787, 'worldwide_gross': 109906372}",1 hr 52 min,Jan,2016,109906372,34916787,Jan 2016,Action
83,Inferno,"Oct 28, 2016","['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",PG-13,75000000.0,"{'domestic_gross': 34343574, 'worldwide_gross': 220021259}",2 hr 1 min,Oct,2016,220021259,34343574,Oct 2016,Action
84,Mother's Day,"Apr 29, 2016","['Comedy', 'Drama', 'Romance']",PG-13,25000000.0,"{'domestic_gross': 32492859, 'worldwide_gross': 48782670}",1 hr 58 min,Apr,2016,48782670,32492859,Apr 2016,Comedy
85,Gods of Egypt,"Feb 26, 2016","['Action', 'Adventure', 'Fantasy']",PG-13,140000000.0,"{'domestic_gross': 31153464, 'worldwide_gross': 150680864}",2 hr 7 min,Feb,2016,150680864,31153464,Feb 2016,Action
86,La La Land,"Dec 9, 2016","['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",PG-13,30000000.0,"{'domestic_gross': 151101803, 'worldwide_gross': 446486224}",2 hr 8 min,Dec,2016,446486224,151101803,Dec 2016,Comedy
87,Why Him?,"Dec 23, 2016",['Comedy'],R,38000000.0,"{'domestic_gross': 60323786, 'worldwide_gross': 118102725}",1 hr 51 min,Dec,2016,118102725,60323786,Dec 2016,Comedy
88,"Hail, Caesar!","Feb 5, 2016","['Comedy', 'Drama', 'Music', 'Mystery']",PG-13,22000000.0,"{'domestic_gross': 30498085, 'worldwide_gross': 63647656}",1 hr 46 min,Feb,2016,63647656,30498085,Feb 2016,Comedy
89,Alvin and the Chipmunks: The Road Chip,"Dec 18, 2015","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",PG,,"{'domestic_gross': 85886987, 'worldwide_gross': 234798636}",1 hr 32 min,Dec,2015,234798636,85886987,Dec 2015,Adventure
90,When the Bough Breaks,"Sep 9, 2016","['Crime', 'Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",PG-13,10000000.0,"{'domestic_gross': 29747603, 'worldwide_gross': 30658387}",1 hr 47 min,Sep,2016,30658387,29747603,Sep 2016,Crime
91,Zoolander 2,"Feb 12, 2016","['Action', 'Adventure', 'Comedy', 'Mystery', 'Romance']",PG-13,,"{'domestic_gross': 28848693, 'worldwide_gross': 56722693}",1 hr 41 min,Feb,2016,56722693,28848693,Feb 2016,Action
92,Joy,"Dec 25, 2015","['Biography', 'Drama']",PG-13,60000000.0,"{'domestic_gross': 56451232, 'worldwide_gross': 101134059}",2 hr 4 min,Dec,2015,101134059,56451232,Dec 2015,Biography
93,The Finest Hours,"Jan 29, 2016","['Action', 'Drama', 'History', 'Thriller']",PG-13,,"{'domestic_gross': 27569558, 'worldwide_gross': 52099090}",1 hr 57 min,Jan,2016,52099090,27569558,Jan 2016,Action
94,Florence Foster Jenkins,"Aug 12, 2016","['Biography', 'Comedy', 'Drama', 'Music']",PG-13,29000000.0,"{'domestic_gross': 27383770, 'worldwide_gross': 48902953}",1 hr 51 min,Aug,2016,48902953,27383770,Aug 2016,Biography
95,Manchester by the Sea,"Nov 18, 2016",['Drama'],R,9000000.0,"{'domestic_gross': 47695371, 'worldwide_gross': 78988148}",2 hr 17 min,Nov,2016,78988148,47695371,Nov 2016,Drama
96,Hell or High Water,"Aug 12, 2016","['Action', 'Crime', 'Drama', 'Thriller', 'Western']",R,12000000.0,"{'domestic_gross': 27007844, 'worldwide_gross': 37879877}",1 hr 42 min,Aug,2016,37879877,27007844,Aug 2016,Action
97,The Forest,"Jan 8, 2016","['Horror', 'Mystery', 'Thriller']",PG-13,10000000.0,"{'domestic_gross': 26594261, 'worldwide_gross': 39712000}",1 hr 33 min,Jan,2016,39712000,26594261,Jan 2016,Horror
98,Ben-Hur,"Aug 19, 2016","['Action', 'Adventure', 'Drama', 'History']",PG-13,100000000.0,"{'domestic_gross': 26410477, 'worldwide_gross': 94061311}",2 hr 3 min,Aug,2016,94061311,26410477,Aug 2016,Action
99,Fences,"Dec 16, 2016",['Drama'],PG-13,24000000.0,"{'domestic_gross': 57682904, 'worldwide_gross': 64414761}",2 hr 19 min,Dec,2016,64414761,57682904,Dec 2016,Drama
100,The Witch,"Feb 19, 2016","['Drama', 'Horror', 'Mystery']",R,4000000.0,"{'domestic_gross': 25138705, 'worldwide_gross': 40423945}",1 hr 32 min,Feb,2016,40423945,25138705,Feb 2016,Drama
101,Collateral Beauty,"Dec 16, 2016","['Drama', 'Romance']",PG-13,36000000.0,"{'domestic_gross': 31016021, 'worldwide_gross': 88528280}",1 hr 37 min,Dec,2016,88528280,31016021,Dec 2016,Drama
102,Bridget Jones's Baby,"Sep 16, 2016","['Comedy', 'Drama', 'Romance']",R,35000000.0,"{'domestic_gross': 24252420, 'worldwide_gross': 211952420}",2 hr 3 min,Sep,2016,211952420,24252420,Sep 2016,Comedy
103,What Now?,"Oct 14, 2016","['Comedy', 'Documentary']",R,9900000.0,"{'domestic_gross': 23591043, 'worldwide_gross': 23591043}",1 hr 36 min,Oct,2016,23591043,23591043,Oct 2016,Comedy
104,Whiskey Tango Foxtrot,"Mar 4, 2016","['Biography', 'Comedy', 'Drama', 'War']",R,35000000.0,"{'domestic_gross': 23083334, 'worldwide_gross': 24972139}",1 hr 52 min,Mar,2016,24972139,23083334,Mar 2016,Biography
105,Snowden,"Sep 16, 2016","['Biography', 'Crime', 'Drama', 'Thriller']",R,40000000.0,"{'domestic_gross': 21587519, 'worldwide_gross': 37357216}",2 hr 14 min,Sep,2016,37357216,21587519,Sep 2016,Biography
106,Mechanic: Resurrection,"Aug 26, 2016","['Action', 'Adventure', 'Thriller']",R,,"{'domestic_gross': 21218403, 'worldwide_gross': 125729635}",1 hr 38 min,Aug,2016,125729635,21218403,Aug 2016,Action
107,Free State of Jones,"Jun 24, 2016","['Action', 'Biography', 'Drama', 'History', 'War', 'Western']",R,50000000.0,"{'domestic_gross': 20810036, 'worldwide_gross': 25035950}",2 hr 19 min,Jun,2016,25035950,20810036,Jun 2016,Action
108,Blair Witch,"Sep 16, 2016","['Horror', 'Mystery', 'Thriller']",R,5000000.0,"{'domestic_gross': 20777061, 'worldwide_gross': 45173154}",1 hr 29 min,Sep,2016,45173154,20777061,Sep 2016,Horror
109,God's Not Dead 2,"Apr 1, 2016",['Drama'],PG,,"{'domestic_gross': 20774575, 'worldwide_gross': 24487848}",2 hr,Apr,2016,24487848,20774575,Apr 2016,Drama
110,Keanu,"Apr 29, 2016","['Action', 'Comedy', 'Crime']",R,15000000.0,"{'domestic_gross': 20591853, 'worldwide_gross': 20651333}",1 hr 40 min,Apr,2016,20651333,20591853,Apr 2016,Action
111,Middle School: The Worst Years of My Life,"Oct 7, 2016","['Comedy', 'Family']",PG,8500000.0,"{'domestic_gross': 20007149, 'worldwide_gross': 23316139}",1 hr 32 min,Oct,2016,23316139,20007149,Oct 2016,Comedy
112,Nine Lives,"Aug 5, 2016","['Comedy', 'Drama', 'Family', 'Fantasy']",PG,30000000.0,"{'domestic_gross': 19700032, 'worldwide_gross': 57814445}",1 hr 27 min,Aug,2016,57814445,19700032,Aug 2016,Comedy
113,Race,"Feb 19, 2016","['Biography', 'Drama', 'Sport']",PG-13,,"{'domestic_gross': 19206207, 'worldwide_gross': 25070261}",2 hr 14 min,Feb,2016,25070261,19206207,Feb 2016,Biography
114,Spotlight,"Nov 6, 2015","['Biography', 'Crime', 'Drama']",R,,"{'domestic_gross': 45055776, 'worldwide_gross': 98690254}",2 hr 9 min,Nov,2015,98690254,45055776,Nov 2015,Biography
115,Brooklyn,"Nov 4, 2015","['Drama', 'Romance']",PG-13,,"{'domestic_gross': 38322743, 'worldwide_gross': 62076141}",1 hr 57 min,Nov,2015,62076141,38322743,Nov 2015,Drama
116,The Choice,"Feb 5, 2016","['Drama', 'Romance']",PG-13,,"{'domestic_gross': 18730891, 'worldwide_gross': 23064015}",1 hr 51 min,Feb,2016,23064015,18730891,Feb 2016,Drama
